Rank,Title,Authors,Journal,Publication Year,GCS,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,CitedPerYear
99,i-Hand: An Intelligent Robotic Hand for Fast and Accurate Assembly in Electronic Manufacturing,"Chen, Fei; Sekiyama, Kosuke; Di, Pei; Huang, Jian; Fukuda, Toshio",2012 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION (ICRA),2012,8,0,0,0,0,0,0,1,3,1,3,1.6
100,Intelligent design of an unconstrained layout for a flexible manufacturing system,"Ficko, Mirko; Brezovnik, Simon; Klancnik, Simon; Balic, Joze; Brezocnik, Miran; Pahole, Ivo",NEUROCOMPUTING,2010,11,0,0,0,1,2,1,3,0,2,2,1.5714285714285714
101,Preliminary Insides for an Anthropocentric Cyber-physical Reference Architecture of the Smart Factory,"Zamfirescu, Constantin B.; Pirvu, Bogdan C-tin; Schlick, Jochen; Zuehlke, Detlef",STUDIES IN INFORMATICS AND CONTROL,2013,6,0,0,0,0,0,0,0,1,1,4,1.5
102,Intelligent Alarm Management Applied to Continuous Pharmaceutical Tablet Manufacturing: An Integrated Approach,"Gupta, Anshu; Giridhar, Arun; Venkatasubramanian, Venkat; Reklaitis, Gintaras V.",INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH,2013,6,0,0,0,0,0,0,0,1,1,4,1.5
103,A Real-Time Architecture for Proactive Decision Making in Manufacturing Enterprises,"Bousdekis, Alexandros; Papageorgiou, Nikos; Magoutas, Babis; Apostolou, Dimitris; Mentzas, Gregoris",ON THE MOVE TO MEANINGFUL INTERNET SYSTEMS: OTM 2015 WORKSHOPS,2015,3,0,0,0,0,0,0,0,0,0,3,1.5
104,"Cloud-Based Intelligent User Interface for Cloud Manufacturing: Model, Technology, and Application","Ren, Lei; Cui, Jin; Li, Ni; Wu, Qiong; Ma, Cuixia; Teng, Dongxing; Zhang, Lin",JOURNAL OF MANUFACTURING SCIENCE AND ENGINEERING-TRANSACTIONS OF THE ASME,2015,3,0,0,0,0,0,0,0,0,0,3,1.5
105,Agent-based Gateway Operating System for RFID-enabled ubiquitous manufacturing enterprise,"Fang, Ji; Qu, Ting; Li, Zhi; Xu, Gangyan; Huang, George Q.",ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,2013,6,0,0,0,0,0,0,0,1,3,2,1.5
106,Enabling Smart Manufacturing Research and Development using a Product Lifecycle Test Bed,"Helu, Moneer; Hedberg, Thomas, Jr.","43RD NORTH AMERICAN MANUFACTURING RESEARCH CONFERENCE, NAMRC 43",2015,3,0,0,0,0,0,0,0,0,0,3,1.5
107,Managing Innovative Production Network of Smart Factories,"Veza, I.; Mladineo, M.; Gjeldum, N.",IFAC PAPERSONLINE,2015,3,0,0,0,0,0,0,0,0,0,3,1.5
108,Renewable energy integration into factories: Real-time control of on-site energy systems,"Ghadimi, Pouya; Kara, Sami; Kornfeld, Bernard",CIRP ANNALS-MANUFACTURING TECHNOLOGY,2015,3,0,0,0,0,0,0,0,0,2,1,1.5
109,Toward High Performance Quality Meeting IC Device Manufacturing Requirements with AZ SMART (TM) DSA Process,"Kim, Jihoon; Yin, Jian; Cao, Yi; Her, YoungJun; Petermann, Claire; Wu, Hengpeng; Shan, Jianhui; Tsutsumi, Tomohiko; Lin, Guanyang",ALTERNATIVE LITHOGRAPHIC TECHNOLOGIES VII,2015,3,0,0,0,0,0,0,0,0,0,3,1.5
110,Evolvable Assembly Systems: A Distributed Architecture for Intelligent Manufacturing,"Chaplin, J. C.; Bakker, O. J.; de Silva, L.; Sanderson, D.; Kelly, E.; Logan, B.; Ratchev, S. M.",IFAC PAPERSONLINE,2015,3,0,0,0,0,0,0,0,0,0,3,1.5
111,Standards Landscape and Directions for Smart Manufacturing Systems,"Lu, Yan; Morris, K. C.; Frechette, Simon",2015 INTERNATIONAL CONFERENCE ON AUTOMATION SCIENCE AND ENGINEERING (CASE),2015,3,0,0,0,0,0,0,0,0,0,3,1.5
112,Intelligent machine agent architecture for adaptive control optimization of manufacturing processes,"Kruger, Grant H.; Shih, Albert J.; Hattingh, Danie G.; van Niekerk, Theo I.",ADVANCED ENGINEERING INFORMATICS,2011,9,0,0,0,0,0,0,3,1,5,0,1.5
113,The real-time supervisory control of an experimental manufacturing system based on a hybrid method,"Uzam, Murat; Gelen, Goekhan",CONTROL ENGINEERING PRACTICE,2009,12,0,0,0,2,1,2,2,2,1,2,1.5
114,Smart Manufacturing Approach for Efficient Operation of Industrial Steam-Methane Reformers,"Kumar, Ankur; Baldea, Michael; Edgar, Thomas F.; Ezekoye, Ofodike A.",INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH,2015,3,0,0,0,0,0,0,0,0,1,2,1.5
115,Application of the analytical hierarchy process for real-time scheduling and part routing in advanced manufacturing systems,"Buyurgan, N.; Saygin, C.",JOURNAL OF MANUFACTURING SYSTEMS,2008,13,0,0,1,2,1,1,2,5,1,0,1.4444444444444444
116,Agent-supported simulation environment for intelligent manufacturing and warehouse management systems,"Ruiz, Nancy; Giret, Adriana; Botti, Vicente; Feria, Victor",INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,2011,8,0,0,0,0,0,2,0,2,3,1,1.3333333333333333
117,Real-time detection of foreign objects using X-ray imaging for dry food manufacturing line,"Kwon, Jae-Sung; Lee, Jong Min; Kim, Whoi-Yul","2008 IEEE INTERNATIONAL SYMPOSIUM ON CONSUMER ELECTRONICS, VOLS 1 AND 2",2008,12,0,0,0,1,1,0,4,4,1,1,1.3333333333333333
118,An intelligent simulation environment for manufacturing systems,"Ruiz, Nancy; Giret, Adriana; Botti, Vicente; Feria, Victor",COMPUTERS & INDUSTRIAL ENGINEERING,2014,4,0,0,0,0,0,0,0,0,0,4,1.3333333333333333
119,Are Intelligent Manufacturing Systems Sustainable?,"Thomas, Andre; Trentesaux, Damien",SERVICE ORIENTATION IN HOLONIC AND MULTI-AGENT MANUFACTURING AND ROBOTICS,2014,4,0,0,0,0,0,0,0,0,2,2,1.3333333333333333
120,A cloud-based intelligent decision-making system for order tracking and allocation in apparel manufacturing,"Guo, Z. X.; Wong, W. K.; Guo, Chunxiang",INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,2014,4,0,0,0,0,0,0,0,0,1,3,1.3333333333333333
121,Integrating Real-Time Analytics and Continuous Performance Management in Smart Manufacturing Systems,"Kumaraguru, Senthilkumaran; Kulvatunyou, Boonserm (Serm); Morris, K. C.","ADVANCES IN PRODUCTION MANAGEMENT SYSTEMS: INNOVATIVE AND KNOWLEDGE-BASED PRODUCTION MANAGEMENT IN A GLOBAL-LOCAL WORLD, APMS 2014, PT III",2014,4,0,0,0,0,0,0,0,0,1,3,1.3333333333333333
122,On architecting and composing through-life engineering information services to enable smart manufacturing,"Ivezic, Nenad; Kulvatunyou, Boonserm; Srinivasan, Vijay",PROCEEDINGS OF THE 3RD INTERNATIONAL CONFERENCE IN THROUGH-LIFE ENGINEERING SERVICES,2014,4,0,0,0,0,0,0,0,0,1,3,1.3333333333333333
123,Manufacturing Network Design for Mass Customisation using a Genetic Algorithm and an Intelligent Search Method,"Mourtzis, D.; Doukas, M.; Psarommatis, F.",FORTY SIXTH CIRP CONFERENCE ON MANUFACTURING SYSTEMS 2013,2013,5,0,0,0,0,0,0,0,3,1,1,1.25
124,Real-time capacity requirement planning for make-to-order manufacturing with variable time-window orders,"Hung, Yi-Feng; Huang, Chuan-Che; Yeh, Ying",COMPUTERS & INDUSTRIAL ENGINEERING,2013,5,0,0,0,0,0,0,1,3,0,1,1.25
125,Trends in intelligent manufacturing systems,"Christo, Camilo; Cardeira, Carlos","2007 IEEE INTERNATIONAL SYMPOSIUM ON INDUSTRIAL ELECTRONICS, PROCEEDINGS, VOLS 1-8",2007,12,0,0,0,5,1,2,2,1,0,1,1.2
126,A mixed isomorphism approach for kinematic structure enumeration graphs based on intelligent design and manufacturing,Yang Ping; Liao NingBo; Yang Bin; Ding JianNing; Yang Jichang,INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,2007,12,0,1,4,2,2,1,0,1,1,0,1.2
127,A RFID-Enabled Real-Time Manufacturing Hardware Platform for Discrete Industry,"Dai, Q. Y.; Zhong, R. Y.; Zhou, K.; Jiang, Z. Y.",PROCEEDINGS OF THE 6TH CIRP-SPONSORED INTERNATIONAL CONFERENCE ON DIGITAL ENTERPRISE TECHNOLOGY,2010,8,0,0,0,0,0,2,0,3,1,2,1.1428571428571428
128,A real-time vision system for defect inspection in cast extrusion manufacturing process,"Gamage, P.; Xie, S. Q.",INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,2009,9,0,0,0,0,1,0,1,2,3,2,1.125
129,"Smart tool, machine and special equipment: overview of the concept and application for the toolmaking factory of the future","Tepes, Matic; Krajnik, Peter; Kopac, Janez; Semolic, Brane",JOURNAL OF THE BRAZILIAN SOCIETY OF MECHANICAL SCIENCES AND ENGINEERING,2015,2,0,0,0,0,0,0,0,0,1,1,1.0
130,Shared and Service-oriented CNC Machining System for Intelligent Manufacturing Process,Li Yao; Liu Qiang; Tong Ronglei; Cui Xiaohong,CHINESE JOURNAL OF MECHANICAL ENGINEERING,2015,2,0,0,0,0,0,0,0,0,0,2,1.0
131,Real-time scheduling for hybrid flowshop in ubiquitous manufacturing environment,"Luo, Hao; Fang, Ji; Huang, George Q.",COMPUTERS & INDUSTRIAL ENGINEERING,2015,2,0,0,0,0,0,0,0,0,0,2,1.0
132,A Price-Based Demand Response Scheme for Discrete Manufacturing in Smart Grids,"Luo, Zhe; Hong, Seung-Ho; Kim, Jong-Beom",ENERGIES,2016,1,0,0,0,0,0,0,0,0,0,1,1.0
133,Simulation of a real-time process adaptation in the manufacture of high-density fibreboards using multivariate regression analysis and feedforward control,"Riegler, Martin; Spangl, Bernhard; Weigl, Martin; Wimmer, Rupert; Mueller, Ulrich",WOOD SCIENCE AND TECHNOLOGY,2013,4,0,0,0,0,0,0,0,0,2,2,1.0
134,An Energy Management Framework for Smart Factory based on Context-awareness,"Lee, Hvunjeong; Yoo, Sangkeun; Kim, Yong-Woon",2016 18TH INTERNATIONAL CONFERENCE ON ADVANCED COMMUNICATIONS TECHNOLOGY (ICACT) - INFORMATION AND COMMUNICATIONS FOR SAFE AND SECURE LIFE,2016,1,0,0,0,0,0,0,0,0,0,1,1.0
135,Current status and challenges of using geometric tolerance information in intelligent manufacturing systems,"Lemu, Hirpa",ADVANCES IN MANUFACTURING,2014,3,0,0,0,0,0,0,0,0,1,2,1.0
136,On Architecting and Composing Engineering Information Services to Enable Smart Manufacturing,"Kulvatunyou, Boonserm (Serm); Ivezic, Nenad; Srinivasan, Vijay",JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING,2016,1,0,0,0,0,0,0,0,0,0,1,1.0
137,"Digital Manufacturing in Smart Manufacturing Systems: Contribution, Barriers, and Future Directions","Choi, SangSu; Jun, Chanmo; Zhao, Wen Bin; Noh, Sang Do","ADVANCES IN PRODUCTION MANAGEMENT SYSTEMS: INNOVATIVE PRODUCTION MANAGEMENT TOWARDS SUSTAINABLE GROWTH (AMPS 2015), PT II",2015,2,0,0,0,0,0,0,0,0,0,2,1.0
138,An Enhanced Intelligent Water Drops Algorithm for Scheduling of an Agile Manufacturing System,"Teymourian, Ehsan; Kayvanfar, Vahid; Komaki, Gh M.; Khodarahmi, Majtaba",INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING,2016,1,0,0,0,0,0,0,0,0,0,1,1.0
139,Design and Manufacturing of a SMES Model Coil for Real Time Digital Simulator Based Power Quality Enhancement Simulation,"Kim, A-Rong; Kim, Gyeong-Hun; Kim, Kwang-Min; Kim, Jin-Geun; Kim, Dae-Won; Park, Minwon; Yu, In-Keun; Kim, Seok-Ho; Sim, Kideok; Seong, Ki-Chul",IEEE TRANSACTIONS ON APPLIED SUPERCONDUCTIVITY,2010,7,0,0,0,0,4,0,1,1,0,1,1.0
140,Intelligent dynamic workflow support for a ubiquitous Web service-based manufacturing environment,"Lee, Minsoo; Yoon, Hyejung; Shin, Hyoseop; Lee, Deok Gyu",JOURNAL OF INTELLIGENT MANUFACTURING,2009,8,0,0,0,0,1,3,1,1,2,0,1.0
141,Effect of real-time cooling rate on microstructure in Laser Additive Manufacturing,"Farshidianfar, Mohammad H.; Khajepour, Amir; Gerlich, Adrian P.",JOURNAL OF MATERIALS PROCESSING TECHNOLOGY,2016,1,0,0,0,0,0,0,0,0,0,1,1.0
142,A Human-Centred Design to Break the Myth of the Magic Human in Intelligent Manufacturing Systems,"Trentesaux, Damien; Millot, Patrick",SERVICE ORIENTATION IN HOLONIC AND MULTI-AGENT MANUFACTURING,2016,1,0,0,0,0,0,0,0,0,0,1,1.0
143,Design and Development of a Physical Internet-Enabled Smart Factory for Discrete Manufacturing,"Zhong, Ray Y.",PROCEEDINGS OF THE 22ND INTERNATIONAL CONFERENCE ON INDUSTRIAL ENGINEERING AND ENGINEERING MANAGEMENT: CORE THEORY AND APPLICATIONS OF INDUSTRIAL ENGINEERING (VOL 1),2016,1,0,0,0,0,0,0,0,0,0,1,1.0
144,TRENDS IN PRECISION MANUFACTURING BASED ON INTELLIGENT DESIGN AND ADVANCED METROLOGY,"Durakbasa, M. N.; Bas, G.; Bauer, J. M.; Poszvek, G.",PRECISION MACHINING VII,2014,3,0,0,0,0,0,0,0,1,2,0,1.0
145,A neuro-fuzzy decoupling approach for real-time drying room control in meat manufacturing,"Zhang, Wei; Ma, Hong; Yang, Simon X.",EXPERT SYSTEMS WITH APPLICATIONS,2015,2,0,0,0,0,0,0,0,0,2,0,1.0
146,SelSus: Towards A Reference Architecture for Diagnostics and Predictive Maintenance Using Smart Manufacturing Devices,"Sayed, Mohamed S.; Lohse, Niels; Sondberg-Jeppesen, Nicolaj; Madsen, Anders L.",PROCEEDINGS 2015 IEEE INTERNATIONAL CONFERENCE ON INDUSTRIAL INFORMATICS (INDIN),2015,2,0,0,0,0,0,0,0,0,0,2,1.0
147,Towards Agent-Based Smart Factories A Subject-Oriented Modeling Approach,"Kannengiesser, Udo; Mueller, Harald","2013 IEEE/WIC/ACM INTERNATIONAL JOINT CONFERENCE ON WEB INTELLIGENCE AND INTELLIGENT AGENT TECHNOLOGY - WORKSHOPS (WI-IAT), VOL 3",2013,4,0,0,0,0,0,0,0,1,3,0,1.0
148,Developing the Next Generation of Engineers for Intelligent and Sustainable Manufacturing: A Case Study,"Secundo, Giustina; Passiante, Giuseppina; Romano, Aldo; Moliterni, Pasquale",INTERNATIONAL JOURNAL OF ENGINEERING EDUCATION,2013,4,0,0,0,0,0,0,0,2,1,1,1.0
149,Coordination mechanism in real-time scheduling of Virtual Cellular Manufacturing Systems,"Liang, Feng; Fung, Richard Y. K.",PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART B-JOURNAL OF ENGINEERING MANUFACTURE,2016,1,0,0,0,0,0,0,0,0,0,1,1.0
150,An engineering framework for Service-Oriented Intelligent Manufacturing Systems,"Giret, Adriana; Garcia, Emilia; Botti, Vicente",COMPUTERS IN INDUSTRY,2016,1,0,0,0,0,0,0,0,0,0,1,1.0
151,Real-time process modeling of particleboard manufacture using variable selection and regression methods ensemble,"Andre, Nicolas; Young, Timothy M.",EUROPEAN JOURNAL OF WOOD AND WOOD PRODUCTS,2013,4,0,0,0,0,0,0,0,0,3,1,1.0
152,Bionics-An inspiration for intelligent manufacturing and engineering,"Quinn, Sonya; Gaughran, William",ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,2010,7,0,0,0,0,0,2,0,2,2,1,1.0
153,Intelligent Process Management for Continuous Operations in Pharmaceutical Manufacturing,"Giridhar, Arun; Gupta, Anshu; Louvier, Matt; Joglekar, Girish; Nagy, Zoltan K.; Reklaitis, Gintaras V.","24TH EUROPEAN SYMPOSIUM ON COMPUTER AIDED PROCESS ENGINEERING, PTS A AND B",2014,3,0,0,0,0,0,0,0,0,1,2,1.0
154,Experimental Platform for Collaborative Inter and Intra Cellular Fuzzy Scheduling in an Ubiquitous Manufacturing System,"Varela, Maria Leonilde R.; Barbosa, Rui; Putnik, Goran D.","VIRTUAL AND NETWORKED ORGANIZATIONS, EMERGENT TECHNOLOGIES, AND TOOLS",2012,5,0,0,0,0,0,0,0,4,1,0,1.0
155,ANEMONA-S plus Thomas: A Framework for Developing Service-Oriented Intelligent Manufacturing Systems,"Giret, Adriana; Botti, Vicente",SERVICE ORIENTATION IN HOLONIC AND MULTI-AGENT MANUFACTURING,2015,2,0,0,0,0,0,0,0,0,0,2,1.0
156,Methods and Tools for Performance Assurance of Smart Manufacturing Systems,"Kibira, Deogratias; Morris, K. C.; Kumaraguru, Senthilkumaran",JOURNAL OF RESEARCH OF THE NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,2016,1,0,0,0,0,0,0,0,0,0,1,1.0
157,A FRAMEWORK FOR STRUCTURAL MODELLING OF AN RFID-ENABLED INTELLIGENT DISTRIBUTED MANUFACTURING CONTROL SYSTEM,"Barenji, A. V.; Barenji, R. V.; Hashemipour, M.",SOUTH AFRICAN JOURNAL OF INDUSTRIAL ENGINEERING,2014,3,0,0,0,0,0,0,0,0,1,2,1.0
158,Cloudlet architecture for dashboard in cloud and ubiquitous manufacturing,"Ferreira, Lus; Putnik, Goran; Cunha, Manuela; Putnik, Zlata; Castro, Helio; Alves, Catia; Shah, Vaibhav; Varela, Maria Leonilde R.",EIGHTH CIRP CONFERENCE ON INTELLIGENT COMPUTATION IN MANUFACTURING ENGINEERING,2013,4,0,0,0,0,0,0,0,0,1,3,1.0
159,Intelligent and Accessible Data Flow Architectures for Manufacturing System Optimization,"Lynn, Roby; Chen, Aoyu; Locks, Stephanie; Nath, Chandra; Kurfess, Thomas","ADVANCES IN PRODUCTION MANAGEMENT SYSTEMS: INNOVATIVE PRODUCTION MANAGEMENT TOWARDS SUSTAINABLE GROWTH (AMPS 2015), PT I",2015,2,0,0,0,0,0,0,0,0,0,2,1.0
160,Improving a Cellular Manufacturing System through Real Time-Simulation and -Measurement,"Kitazawa, Masaki; Takahashi, Toru B.; Takahashi, Satoshi; Yoshikawa, Atsushi; Terano, Takao","PROCEEDINGS 2016 IEEE 40TH ANNUAL COMPUTER SOFTWARE AND APPLICATIONS CONFERENCE WORKSHOPS (COMPSAC), VOL 2",2016,1,0,0,0,0,0,0,0,0,0,1,1.0
161,Energy-efficient scheduling of multiple manufacturing factories under real-time electricity pricing,"Zhang, Hao; Zhao, Fu; Sutherland, John W.",CIRP ANNALS-MANUFACTURING TECHNOLOGY,2015,2,0,0,0,0,0,0,0,0,0,2,1.0
162,Intelligent Seven-DoF Robot With Dynamic Obstacle Avoidance and 3-D Object Recognition for Industrial Cyber-Physical Systems in Manufacturing Automation,"Luo, Ren C.; Kuo, Chia-Wen",PROCEEDINGS OF THE IEEE,2016,1,0,0,0,0,0,0,0,0,0,1,1.0
163,A Reference Architecture and Knowledge-Based Structures for Smart Manufacturing Networks,"Papazoglou, Michael P.; van den Heuvel, Willem-Jan; Mascolo, Julien Etienne",IEEE SOFTWARE,2015,2,0,0,0,0,0,0,0,0,0,2,1.0
164,"Direct analysis in real time mass spectrometry, a process analytical technology tool for real-time process monitoring in botanical drug manufacturing","Wang, Lu; Zeng, Shanshan; Chen, Teng; Qu, Haibin",JOURNAL OF PHARMACEUTICAL AND BIOMEDICAL ANALYSIS,2014,3,0,0,0,0,0,0,0,1,0,2,1.0
165,Fabrication of smart parts using powder bed fusion additive manufacturing technology,"Hossain, Mohammad Shojib; Gonzalez, Jose A.; Hernandez, Ricardo Martinez; Shuvo, Mohammad Arif Ishtiaque; Mireles, Jorge; Choudhuri, Ahsan; Lin, Yirong; Wicker, Ryan B.",ADDITIVE MANUFACTURING,2016,1,0,0,0,0,0,0,0,0,0,1,1.0
166,Integrated Moving Horizon-Based Dynamic Real-Time Optimization and Hybrid MPC-PID Control of a Direct Compaction Continuous Tablet Manufacturing Process,"Singh, Ravendra; Sen, Maitraye; Ierapetritou, Marianthi; Ramachandran, Rohit",JOURNAL OF PHARMACEUTICAL INNOVATION,2015,2,0,0,0,0,0,0,0,0,0,2,1.0
167,Intelligent manufacturing and environmental sustainability,"Gaughran, William F.; Burke, Stephen; Phelan, Patrick",ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,2007,9,0,0,1,1,2,1,1,3,0,0,0.9
168,Modeling an e-based real-time quality control information system in distributed manufacturing shops,"Mahdavi, Iraj; Shirazi, Babak; Cho, Namjae; Sahebjamnia, Navid; Ghobadi, Shahram",COMPUTERS IN INDUSTRY,2008,8,0,0,1,0,0,0,2,0,4,1,0.8888888888888888
169,Evaluation of real-time PCR assays for detection and quantification of fraudulent addition of bovine milk to caprine and ovine milk for cheese manufacture,"Mininni, Alba N.; Pellizzari, Caterina; Cardazzo, Barbara; Carraro, Lisa; Balzan, Stefania; Novelli, Enrico",INTERNATIONAL DAIRY JOURNAL,2009,7,0,0,0,0,3,2,0,1,0,1,0.875
170,iCoSim-FMS: An intelligent co-simulator for the adaptive control of complex flexible manufacturing systems,"Shirazi, Babak; Mahdavi, Iraj; Mahdavi-Amiri, Nezam",SIMULATION MODELLING PRACTICE AND THEORY,2011,5,0,0,0,0,0,0,1,1,2,1,0.8333333333333334
171,"Intelligent Management of Manufacturing Knowledge: Foundations, Motivation Scenario and Roadmap","Landherr, M.; Constantinescu, C.",45TH CIRP CONFERENCE ON MANUFACTURING SYSTEMS 2012,2012,4,0,0,0,0,0,0,0,1,1,2,0.8
172,Services for Competitive and Sustainable Manufacturing in the Smart Grid,"Prabhu, Vittaldas V.",SERVICE ORIENTATION IN HOLONIC AND MULTI-AGENT MANUFACTURING CONTROL,2012,4,0,0,0,0,0,0,0,0,2,2,0.8
173,"Operations management in automated semiconductor manufacturing with integrated targeting, near real-time scheduling, and dispatching","Govind, Nirmal; Bullock, Eric W.; He, Linling; Lyer, Bala; Krishna, Murali; Lockwood, Charles S.",IEEE TRANSACTIONS ON SEMICONDUCTOR MANUFACTURING,2008,7,0,0,0,0,1,1,1,2,1,1,0.7777777777777778
174,A high-performance approach on mechanism isomorphism identification based on an adaptive hybrid genetic algorithm for digital intelligent manufacturing,"Yang, Ping; Zeng, Kehan",ENGINEERING WITH COMPUTERS,2009,6,0,0,0,1,0,0,1,3,1,0,0.75
175,Processing studies for the development of a manufacture process for intelligent lightweight structures with integrated sensor systems and adapted electronics,"Hufenbach, W.; Fischer, W. -J.; Gude, M.; Geller, S.; Tyczynski, T.","MATERIALS SCIENCE ENGINEERING, SYMPOSIUM B6 - HYBRID STRUCTURES",2013,3,0,0,0,0,0,0,0,2,1,0,0.75
176,"Through the Development of a Biomechatronic Knee Prosthesis for Transfemoral Amputees: Mechanical Design and Manufacture, Human Gait Characterization, Intelligent Control Strategies and Tests","Torrealba, Rafael R.; Perez-D'Arpino, Claudia; Cappelletto, Jose; Fermin-Leon, Leonardo; Fernandez-Lopez, Gerardo; Grieco, Juan C.",2010 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION (ICRA),2010,5,0,0,0,0,0,0,0,1,0,4,0.7142857142857143
177,Strategic Capacity Decision-Making in a Stochastic Manufacturing Environment Using Real-Time Approximate Dynamic Programming,"Pratikakis, Nikolaos E.; Realff, Matthew J.; Lee, Jay H.",NAVAL RESEARCH LOGISTICS,2010,5,0,0,0,1,1,0,0,2,0,1,0.7142857142857143
178,Toward intelligent manufacturing: label characters marking and recognition method for steel products with machine vision,"Zhao, Qi-Jie; Cao, Peng; Tu, Da-Wei",ADVANCES IN MANUFACTURING,2014,2,0,0,0,0,0,0,0,0,0,2,0.6666666666666666
179,SIMULATION-BASED REAL-TIME PERFORMANCE MONITORING (SIMMON): A PLATFORM FOR MANUFACTURING AND HEALTHCARE SYSTEMS,"Mousavi, Alireza; Komashie, Alexander; Tavakoli, Siamak",PROCEEDINGS OF THE 2011 WINTER SIMULATION CONFERENCE (WSC),2011,4,0,0,0,0,0,0,1,1,1,1,0.6666666666666666
180,Policy to cope with deadlocks and livelocks for flexible manufacturing systems using the max'-controlled new smart siphons,"Li, Shaoyong; An, Aimin; Wu, Hongmei; Hou, Caiqin; Cai, Ying; Han, Xilian; Wang, Ying",IET CONTROL THEORY AND APPLICATIONS,2014,2,0,0,0,0,0,0,0,0,0,2,0.6666666666666666
181,Study and Design Real-time Manufacturing Execution System Based On RFID,"Hua, Jiwei; Liang, Tao; Lei, Zhaoming","2008 INTERNATIONAL SYMPOSIUM ON INTELLIGENT INFORMATION TECHNOLOGY APPLICATION, VOL I, PROCEEDINGS",2008,6,0,0,2,1,1,1,1,0,0,0,0.6666666666666666
182,Intelligent measurements for monitoring and control of glass production furnace for green and efficient manufacturing,"Liu, Tien-I; Lyons, Carl S.; Sukanya, S.; Yang, Che-Hua",INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,2014,2,0,0,0,0,0,0,0,0,1,1,0.6666666666666666
183,"Altitude and Underground Real-Time SER Testing of SRAMs Manufactured in CMOS Bulk 130, 65 and 40 nm","Autran, Jean-Luc; Munteanu, Daniela; Sauze, S.; Gasiot, G.; Roche, P.",2014 IEEE RADIATION EFFECTS DATA WORKSHOP (REDW),2014,2,0,0,0,0,0,0,0,0,1,1,0.6666666666666666
184,Pheromone Based Self-routing of Intelligent Products in Dynamic Manufacturing System,"Shi, Ke; Chen, Xinmiao; Qin, Xuan","APPLIED INFORMATICS AND COMMUNICATION, PT 5",2011,4,0,0,0,0,0,1,1,0,2,0,0.6666666666666666
185,Monitoring and controlling of smart equipments using Android compatible devices towards IoT applications and services in manufacturing industry,"Murar, Mircea; Brad, Stelian","2014 IEEE INTERNATIONAL CONFERENCE ON AUTOMATION, QUALITY AND TESTING, ROBOTICS",2014,2,0,0,0,0,0,0,0,0,1,1,0.6666666666666666
186,Multiagent-based scheduling optimization for Intelligent Manufacturing System,"Guo, Qing-lin; Zhang, Ming",INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,2009,5,0,0,0,1,0,1,1,1,0,1,0.625
187,Intelligent alloy design: engineering single crystals superalloys amenable for manufacture,"Tin, S.",MATERIALS SCIENCE AND TECHNOLOGY,2009,5,0,0,0,2,2,0,1,0,0,0,0.625
188,Automated intelligent manufacturing system for surface finish control in CNC milling using support vector machines,"Ramesh, R.; Kumar, K. S. Ravi; Anil, G.",INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,2009,5,0,0,0,1,0,1,1,1,1,0,0.625
189,Providing Configurability and Plug-and-play Capability to Simple Sensors: A Step towards Smart Sensors for Smart Factories,"Murar, Mircea; Brad, Stelian","MECHANISMS, MECHANICAL TRANSMISSIONS AND ROBOTICS",2012,3,0,0,0,0,0,0,0,1,2,0,0.6
190,Collaborative design and manufacture on intelligent system,"Chen, Li-Shan; Chen, Shang-Liang",JOURNAL OF THE CHINESE SOCIETY OF MECHANICAL ENGINEERS,2007,6,0,1,1,4,0,0,0,0,0,0,0.6
191,Rapid manufacturing of intelligent mold with embedded microsensors,"Luo, Ren C.; Pan, Yen-Lin",IEEE-ASME TRANSACTIONS ON MECHATRONICS,2007,6,0,0,1,1,0,1,0,0,2,1,0.6
192,Design and implementation of wireless sensor based-monitoring system for smart factory,"Lee, Seok Cheol; Jeon, Tae Gun; Hwang, Hyun-Suk; Kim, Chang-Soo","COMPUTATIONAL SCIENCE AND ITS APPLICATIONS - ICCSA 2007, PT 2, PROCEEDINGS",2007,6,0,0,3,0,0,1,0,0,0,2,0.6
